Step,KineticEnergy
6550,2.79316
6560,2.8104
6570,2.82728
6580,2.84294
6590,2.85657
6600,2.86756
6610,2.87557
6620,2.87842
6630,2.87456
6640,2.86477
6650,2.85102
6660,2.83562
6670,2.81942
6680,2.80364
6690,2.78946
6700,2.77786
6710,2.76779
6720,2.75914
6730,2.75224
6740,2.74691
6750,2.74371
6760,2.74311
6770,2.74388
6780,2.74594
6790,2.74995
6800,2.75628
6810,2.76509
6820,2.77595
6830,2.78713
6840,2.79692
6850,2.80331
6860,2.80509
6870,2.80212
6880,2.79584
6890,2.78701
6900,2.77622
6910,2.76491
6920,2.7533
6930,2.74265
6940,2.73433
6950,2.72927
6960,2.72798
6970,2.7308
6980,2.73717
6990,2.74478
7000,2.75055
7010,2.7528
7020,2.75311
7030,2.7509
7040,2.7459
7050,2.7386
7060,2.73027
7070,2.72077
7080,2.70987
7090,2.69833
7100,2.68653
7110,2.67487
7120,2.66338
7130,2.65202
7140,2.64071
7150,2.6297
7160,2.61878
7170,2.60752
7180,2.59543
7190,2.58221
7200,2.56892
7210,2.55691
7220,2.54706
7230,2.54014
7240,2.53672
7250,2.53682
7260,2.54103
7270,2.5487
7280,2.55822
7290,2.56899
7300,2.57981
7310,2.59075
7320,2.60099
7330,2.60944
7340,2.61499
7350,2.61654
7360,2.61521
7370,2.61157
7380,2.60587
7390,2.59918
7400,2.5925
7410,2.58582
7420,2.58028
7430,2.57662
7440,2.57491
7450,2.57461
7460,2.57533
7470,2.5764
7480,2.57634
7490,2.57414
7500,2.56927
7510,2.5624
7520,2.55498
7530,2.54854
7540,2.54497
7550,2.5457
7560,2.55183
7570,2.56338
7580,2.57796
7590,2.59313
7600,2.60828
7610,2.62292
7620,2.63699
7630,2.64984
7640,2.66084
7650,2.66973
7660,2.67548
7670,2.67779
7680,2.67718
7690,2.67439
7700,2.66961
7710,2.66354
7720,2.65565
7730,2.64673
7740,2.63779
7750,2.62878
7760,2.62093
7770,2.6158
7780,2.61489
7790,2.61897
7800,2.62677
7810,2.63608
7820,2.64558
7830,2.65432
7840,2.66229
7850,2.67066
7860,2.68095
7870,2.69228
7880,2.70308
7890,2.71399
7900,2.72364
7910,2.72968
7920,2.72973
7930,2.72408
7940,2.7139
7950,2.70005
7960,2.6836
7970,2.66584
7980,2.64785
7990,2.62957
8000,2.6119
8010,2.59586
8020,2.583
8030,2.57391
8040,2.56744
8050,2.56335
8060,2.56054
8070,2.55857
8080,2.55726
8090,2.55718
8100,2.55863
8110,2.56263
8120,2.56954
8130,2.57952
8140,2.59216
8150,2.60706
8160,2.62365
8170,2.64115
8180,2.6583
8190,2.67303
8200,2.68439
8210,2.69124
8220,2.69179
8230,2.68532
8240,2.67288
8250,2.65516
8260,2.6347
8270,2.61345
8280,2.59306
8290,2.57548
8300,2.5621
8310,2.55255
8320,2.546
8330,2.54087
8340,2.53273
8350,2.52348
8360,2.51487
8370,2.50851
8380,2.50584
8390,2.50757
8400,2.5146
8410,2.52589
8420,2.5383
8430,2.5495
8440,2.55759
8450,2.5614
8460,2.56093
8470,2.55669
8480,2.54922
8490,2.53963
8500,2.52977
8510,2.52061
8520,2.51524
8530,2.5162
8540,2.52431
8550,2.53846
8560,2.55671
8570,2.57537
8580,2.59213
8590,2.60467
8600,2.6114
8610,2.61079
8620,2.60271
8630,2.58901
8640,2.57099
8650,2.55084
8660,2.52992
8670,2.51018
8680,2.49212
8690,2.47581
8700,2.46104
8710,2.44829
8720,2.43801
8730,2.43068
8740,2.4265
8750,2.42554
8760,2.42832
8770,2.43489
8780,2.44453
8790,2.45636
8800,2.46838
8810,2.47811
8820,2.48522
8830,2.48969
8840,2.49191
8850,2.49243
8860,2.49102
8870,2.48784
8880,2.48375
